crime_type,location,time,crime_category
Petty Theft,Rimac,3:30 PM - 4:00 PM,Theft and Damage
Petty Theft - Bicycle,Stewart Hall,7:20 PM - 12:05 PM,Theft and Damage
Noise Disturbance,Brisa,12:12 AM,Disturbance
Medical Aid,North America Hall,12:15 AM,Welfare
Drunk Driving No Injuries,North Torrey Pines Road,12:41 AM,Traffic
Citizen Contact,Piedra,12:44 AM,Other
Noise Disturbance,Sankofa,1:12 AM,Disturbance
Incomplete/Accidental Landline 911,Kaleidoscope,2:20 AM,Non-Emergent Call or Report
Noise Disturbance,Survivance,2:51 AM,Disturbance
Citizen Contact,Ridge Walk Academic Building,7:58 AM,Other
Information,Tioga Hall,11:11 AM,Non-Emergent Call or Report
Petty Theft,Scholars Parking Structure,11:46 AM,Theft and Damage
Disturbance,La Jolla Village Drive,12:04 PM,Disturbance
Sexual Battery,Rya,12:00 AM,Violent
Fire Alarm,Kaleidoscope,2:07 PM,Disturbance
Incomplete/Accidental Wireless 911,Atkinson Hall,2:28 PM,Non-Emergent Call or Report
Fire Alarm,Argo Hall,3:40 PM,Disturbance
Illegal Parking,Rita Atkinson Residences,3:49 PM,Traffic
Noise Disturbance,Galbraith Hall,3:58 PM,Disturbance
Welfare Check,Wells Fargo Hall,5:01 PM,Welfare
Fire Alarm,Preuss School,5:15 PM,Disturbance
Suspicious Person,Torrey Pines Gliderport,6:03 PM,Disturbance
Petty Theft - Micro Mobility Device,Social Sciences Bldg.,9:40 AM - 6:40 PM,Theft and Damage
Petty Theft - Micro Mobility Device,Pulse,12:00 AM - 5:30 PM,Theft and Damage
Incomplete/Accidental Landline 911 Call,Survivance,6:58 PM,Non-Emergent Call or Report
Suspicious Person,Roger's Place and Market,7:34 PM,Disturbance
Incomplete/Accidental Landline 911,Regents Road/Regents Park Row,7:56 PM,Non-Emergent Call or Report
Injury,Black Gold Road,8:11 PM,Welfare
Incomplete/Accidental Wireless 911,Regents Park Row/Regents Road,8:15 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911,Rubicon Deli,8:25 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Black Gold Road,8:32 PM,Non-Emergent Call or Report
Suspicious Person,Trolley - Central Campus Station,9:43 PM,Disturbance
Noise Disturbance,Piedra,9:52 PM,Disturbance
Citizen Contact,Cala,10:01 PM,Other
Noise Disturbance,Capa,11:29 PM,Disturbance
Injury,Rita Atkinson Residences,11:43 PM,Welfare
Noise Disturbance,Brisa,11:50 PM,Disturbance
Noise Disturbance,Cala,11:52 PM,Disturbance
Petty Theft,Center Hall,10:13 PM - 11:40 AM,Theft and Damage
Medica Aid,Rya,12:04 AM,Other
Disturbance - Party,Piedra,12:09 AM,Disturbance
Incomplete/Accidental Wireless 911 Call,Poole Street,12:17 AM,Non-Emergent Call or Report
Medical Aid,Stewart Hall,12:30 AM,Welfare
Welfare Check,Rita Atkinson Residences,1:16 AM,Welfare
Noise Disturbance,TDLLN - Pulse,1:26 AM,Disturbance
Noise Disturbance,Marshall Upper Apartments M,1:53 AM,Disturbance
Disturbance,Parking Lot P602,6:28 AM,Disturbance
Disturbance,Trolley - VA Medical Center Station,8:29 AM,Disturbance
Information,Thornton Pavilion,9:13 AM,Non-Emergent Call or Report
Security Alarm,Isaacs Hall,9:54 AM,Disturbance
Citizen Flagdown,Scholars Parking,10:48 AM,Other
Illegal Parking,Ola Parking,11:09 AM,Traffic
Security Alarm,Biomedical Sciences Building,12:28 PM,Disturbance
Stay Away Order Issuance,The Market at Seventh College East,1:45 PM,Disturbance
Information,Charles David Keeling Apartments 1,2:08 PM,Non-Emergent Call or Report
Petty Theft - Micro Mobility Device,Applied Physics and Mathematics,12:50 PM - 2:20 PM,Theft and Damage
Petty Theft - Micro Mobility Device,3350 Innovation Lane,10:00 PM - 2:00 PM,Theft and Damage
Medical Aid,La Jolla Family House,4:30 PM,Welfare
Injury,La Jolla Village Drive/Lebon Drive,4:51 PM,Welfare
Citizen Contact,Greenhouse Lane,5:33 PM,Other
Reckless Driving,Porton,5:55 PM,Traffic
Welfare Check,Tuolumne Apartments,5:58 PM,Welfare
Security Alarm,Leichtag Family Foundation Biomedical Research,6:29 PM,Disturbance
Fire Alarm,Tapestry,6:46 PM,Disturbance
Fire Alarm,Tapestry,7:27 PM,Disturbance
Information Only Report,East Medical Center Drive/Athena Circle,10:28 PM - 9:15 PM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Parking Lot P106,9:04 PM,Non-Emergent Call or Report
Noise Disturbance,Brisa,9:57 PM,Disturbance
Injury,TDLLN - Azad,10:06 PM,Welfare
Incomplete/Accidental Wireless 911 Call,Tierra,10:24 PM,Non-Emergent Call or Report
Citizen Contact,Kaleidoscope,10:33 PM,Other
Disturbance - Party,Canyonn Vista,10:53 PM,Disturbance
Alcohol Contact,Kaleidoscope,11:07 PM,Drugs
Noise Disturbance,TDLLN - Pulse,12:27 AM,Disturbance
Security Alarm,Isaacs Alarm,1:43 AM,Disturbance
Noise Disturbance,Capa,1:55 AM,Disturbance
Security Alarm,ERC Administration North,3:35 AM,Disturbance
Disturbance - Fireworks,Rita Atkinson Residences,5:29 AM,Disturbance
Security Alarm,Campus Curbside Pickup,6:15 PM,Disturbance
Security Alarm,Environmental Management Facility,6:23 AM,Disturbance
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Road,8:07 AM,Non-Emergent Call or Report
Incomplete/ Accidental Wireless 911 Call,Scholars Lane,8:51 AM,Non-Emergent Call or Report
Medical Aid,Price Center East,9:07 AM,Welfare
Rape,UCSD Residential Area,Unknown,Violent
Suspicious Circumstances,Naga Way/ La Jolla Shores Drive,11:20 AM,Disturbance
Incomplete/ Accidental Wireless 911 Call,Argo Hall,12:04 PM,Non-Emergent Call or Report
Welfare Check,Price Center West - Target,12:28 PM,Welfare
Citizen Contact,Unknown - Off Campus Location,1:02 PM,Other
Incomplete/ Accidental Wireless 911 Call,Preuss School,1:28 PM,Non-Emergent Call or Report
Incomplete/ Accidental Wireless 911 Call,North Torrey Pines Court,1:32 PM,Non-Emergent Call or Report
Citizen Flagdown,Voigt Drive/ Equality Lane,2:00 PM,Other
Incomplete/ Accidental Landline 911 Call,Tapestry,2:16 PM,Non-Emergent Call or Report
Information,North Torrey Pines Road/ La Jolla Village Drive,2:36 PM,Non-Emergent Call or Report
Welfare Check,Gilman Parking On Russell Lane,3:32 PM,Welfare
Suspicious Person,Marea,4:10 PM,Disturbance
Grand Theft- Micro Mobility Device,Gilman Drive,10:00 AM - 2:50 PM,Theft and Damage
Suspicious Person,TDLLN - Pulse,4:23 PM,Disturbance
Identity Theft,Mandeville Art Gallery,4:45 PM,Theft and Damage
Grand Theft- Micro Mobility Device,Podemos Building,2:00 PM - 2:40 PM,Theft and Damage
Incomplete/ Accidental Landline 911 Call,Design And Innovation Building On Innovation Lane,4:52 PM,Non-Emergent Call or Report
Reckless Driving,Rita Atkinson Residences,5:05 PM,Traffic
Vandalism,Geisel Library,6:00 PM,Theft and Damage
Injury,Blake Hall On Scholars Drive South,6:16 PM,Welfare
Medical Aid,Africa Hall,6:44 PM,Welfare
Incomplete/ Accidental Landline 911 Call,Design & Innovation Building,7:08 PM,Non-Emergent Call or Report
Fire Alarm,Artesa,7:34 PM,Disturbance
Fire Alarm,TDLLN - Pulse,7:47 PM,Disturbance
Incomplete/ Accidental Wireless 911 Call,Viento,7:52 PM,Non-Emergent Call or Report
Extortion,Brisa,12:00 PM - 10:20 PM,Theft and Damage
Petty Theft- Micro Mobility Device,York Hall,7:15 PM - 7:50 PM,Theft and Damage
Welfare Check,Trolley- La Jolla Health Station,8:18 PM,Welfare
Fire Alarm,Seventh College West,8:26 PM,Disturbance
Suspicious Person,Geisel Library,9:16 PM,Disturbance
Alcohol Contact,Tapestry,10:04 PM,Drugs
Contempt of Court: Disobey Court Order/ Warrant Arrest,North Torrey Pines Rd/ Genesee Avenue,10:33 PM,Other
Citizen Contact,Neighborhood - ECEC/MDCD,11:10 PM,Other
Citizen Contact,JK Woods Lounge,11:18 PM,Other
Noise Disturbance,Brisa,11:56 PM,Disturbance
Noise Disturbance,Rita Atkinson Residences,12:12 AM,Disturbance
Voluntary Psych Referral,UCSD Residential Area,12:28 AM - 12:5 1AM,Welfare
Security Alarm,Porton,12:32 AM,Disturbance
Noise Disturbance,Seventh College West #6,1:36 AM,Disturbance
Grand Theft,York Hall,12:15AM-12:30AM,Theft and Damage
Information,East Campus Utilities Plant,6:48 AM,Non-Emergent Call or Report
Welfare Check,Roger's Place and Market,7:15 AM,Welfare
Suspicious Vehicle,Torrey Pines Glider port,9:26 AM,Disturbance
Suspicious Person,Goldberg Apartments,9:36 AM,Disturbance
Information,Geisel Library,9:36 AM,Non-Emergent Call or Report
Triton Core,Student Health and Wellness Center,10:13 AM,Other
Incomplete/Accidental Wireless 911 Call,Genesee Avenue,10:13 AM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Mosaic on Scholars,10:56 AM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Viento on Miramar Street,11:08 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,East Campus Substation,11:23 AM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,11:24 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,North Torrey Pines Road,11:52 AM,Non-Emergent Call or Report
Incomplete/Accidental Wireless 911 Call,Birch Aquarium,11:54 AM,Non-Emergent Call or Report
Assist Other Agency,Parking Lot P206,11:58 AM,Other
Hazard Situation,Mesa Park Court,12:57 PM,Other
Information,Rosecrans Street,1:12 PM,Non-Emergent Call or Report
Incomplete/Accidental Landline 911 Call,Ridge Walk Academic Building,1:17 PM,Non-Emergent Call or Report
Annoying/Threatening Telephone Calls,Tioga Hall,1:00 PM - 12:47 AM,Violent
Incomplete/Accidental Wireless 911 Call,Torrey Pines Road,1:28 PM,Non-Emergent Call or Report
Panic/Silent Alarm,Russell Lane,1:30 PM,Disturbance
Triton Core,Kaleidoscope on Scholars Drive,1:57 PM,Other
Suspicious Circumstance,Center Hall,2:21 PM,Disturbance
Citizen Contact,Black Apartments,3:51 PM,Other
Incomplete/Accidental Wireless 911 Call,Regents Road,4:11 PM,Non-Emergent Call or Report
Welfare Check,University Center,4:31 PM,Welfare
Security Alarm,Central Utilities Plant,5:29 PM,Disturbance
Campus Security Authority Report (CSA),Jacobs Medical Center,6:40 PM,Non-Emergent Call or Report
Suspicious Person,Ridge Walk,6:58 PM,Disturbance
Injury,Center Hall,7:04 PM - 7:29 PM,Welfare
Fire Alarm,Tdlln - Azad,7:40 PM,Disturbance
Domestic Dispute Incident,UCSD Residential Area,9:03 PM - 9:36 PM,Disturbance
Petty Theft,Price Center West,10:18 PM,Theft and Damage
Suspicious Person,Trolley - La Jolla Health Station,11:07 PM,Disturbance
Noise Disturbance,Stewart Hall,11:24 PM,Disturbance
Incomplete/Accidental Landline 911 Call,Viento,12:14 AM,Non-Emergent Call or Report
Noise Disturbance,Gilman Parking,12:20 AM,Disturbance
Illegal Camping,Mesa Canyon Parking Structure,5:47 AM,Disturbance
Property Damage,Marine Conservation and Technology Facility,6:30 AM,Theft and Damage
Petty Theft,ERC Laundry East,10:00 PM - 11:59 PM,Theft and Damage
Information,"Lakeside, California",10:33 AM,Non-Emergent Call or Report
Petty Theft,"One Miramar Street, Building 2",10:15PM-10:15AM,Theft and Damage
Fire Alarm,Tdlln - Pulse,11:21 AM,Disturbance
Welfare Check,Gilman Drive/Pepper Canyon Drive,11:23 AM,Welfare
Medical Aid,Nobel Drive,12:09 PM,Welfare
Information,Argo Hall,12:16 PM,Non-Emergent Call or Report
Grand Theft - Micro Mobility Device/ Obstruct Peace Officer/ Drug Law Violations,York Hall,12:29PM,Theft and Damage
Incomplete/Accidental Landline 911 Call,Kal on Scholars,1:05 PM,Non-Emergent Call or Report
Collision with injury,Social Sciences Building,1:41 PM,Traffic
Illegal Vendor/Soliciting,Marshall Upper Apartments,1:58 PM,Other
Petty Theft,Wells Fargo Hall,12:25 PM - 1:55 PM,Theft and Damage
Disturbance,Theatre District Drive,2:09 PM,Disturbance
Petty Theft,Trolley - Central Campus Station,10:00 AM - 3:30 PM,Theft and Damage
Hit & Run Collision: Non Injury,Scholars Drive North/ Hopkins Drive,10:00 PM,Traffic
Found Property,United States/Mexican Boarder,3:46 PM,Theft and Damage
Reckless Driving,Parking Lot P309,4:12 PM,Traffic
Petty Theft - Micro Mobility Device,Pepper Canyon Hall,11:50 AM-12:50 PM,Theft and Damage
Traffic Hazard,La Jolla Village,5:38 PM,Traffic
Found Property,Design and Innovation Building,6:52 PM,Theft and Damage
Grand Theft - Micro Mobility Device,Warren Lecture Hall,6:00 PM-6:52 PM,Theft and Damage
Petty Theft - Micro Mobility Device,Pepper Canyon Hall,12:30 AM-1:30 AM,Theft and Damage
Marijuana Contact,Porton,7:47 PM,Drugs
Fire Alarm,Tdlln - Sankofa,7:48 PM,Disturbance
Missing Vehicle,Miramar Street,8:26 PM,Theft and Damage
Injury,Capa,1:00PM-1:15PM,Welfare
Incomplete/Accidental Landline 911 Call,Catalyst,8:43 PM,Non-Emergent Call or Report
Noise Disturbance,Rita Atkinson,11:04 PM,Disturbance
Noise Disturbance,Catalyst,11:16 PM,Disturbance
Suspicious Person,Trolley - La Jolla Health Station,11:24 PM,Disturbance
Call For Help,Rita Atkinson Residences,11:43 PM,Other
Reckless Driving,Scholars Parking,11:44 PM,Traffic
Suspicious Person,Piedra,11:59 PM,Disturbance
Theft,UCSD East Campus Medical Center,11:00 AM,Theft and Damage
